title;description;date;url
Stolen;A mysterious character called "The Phantom" is stealing animals from the zoo. Howard and Vince go on a mission to find the thief and the sinister figure behind the plot.;Tue, 16 Oct 2001 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/the-mighty-boosh/1-stolen.mp3
Jungle;Tired of Bob Fossil's management, Howard and Vince venture into the zoo's Jungle Room in search of former zoo boss Tommy Nookah, (Howard's Idol) who disappeared there long ago.;Tue, 23 Oct 2001 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/the-mighty-boosh/2-jungle.mp3
Jazz;Vince forms a rock band, but after annoying the guitarist Dave, and driving him to quit, he calls on Howard to overcome the Spirit of Jazz and join them.;Tue, 30 Oct 2001 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/the-mighty-boosh/3-jazz.mp3
Mutants;When keeper Joey Moose is savagely bitten, Howard and Vince investigate and discover Bob Fossil is breeding mutant animals to sell to wealthy Japanese businessmen.;Tue, 06 Nov 2001 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/the-mighty-boosh/4-mutants.mp3
Tundra;Bob Fossil sends Vince to Spain and Howard to the Arctic to collect more animals for the zoo. The two end up back together facing the perils of the tundra.;Tue, 13 Nov 2001 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/the-mighty-boosh/5-tundra.mp3
Hitcher;Howard and Vince take Tony the prawn to the Zoo For Animal Offenders. Along the way they meet a mysterious hitch-hiker, and end up in the bizarre world of "The People of the Box".;Tue, 20 Nov 2001 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/the-mighty-boosh/6-hitcher.mp3
Outtakes;;Mon, 08 Nov 2004 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/the-mighty-boosh/7-outtakes.mp3
Interview;;Mon, 08 Nov 2004 03:00:01 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/the-mighty-boosh/8-interview.mp3
