title;description;date;link
The Rocky Shores of Reality;;Wed, 19 Jul 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/36-the-rocky-shores-of-reality.mp3
Sound hound;;Mon, 24 Jul 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/37-sound-hound.mp3
Dong Wax;;Wed, 02 Aug 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/38-dong-wax.mp3
Friday Night Lights;;Wed, 09 Aug 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/39-friday-night-lights.mp3
Live Cast 8.11.17 part 1;;Mon, 14 Aug 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/40-live-cast-8-11-17-part-1.mp3
Butt Stuff;;Wed, 16 Aug 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/41-butt-stuff.mp3
We're Smart Now;;Wed, 23 Aug 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/42-we-re-smart-now.mp3
Racist Werewolf;;Wed, 30 Aug 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/43-racist-werewolf.mp3
Michael Myers;;Wed, 06 Sep 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/44-michael-myers.mp3
Pewdie Pie;;Wed, 13 Sep 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/45-pewdie-pie.mp3
The Other Sister;;Wed, 20 Sep 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/46-the-other-sister.mp3
The Almighty Knee;;Wed, 27 Sep 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/47-the-almighty-knee.mp3
Our First Black Guest;;Tue, 03 Oct 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/48-our-first-black-guest.mp3
War of the Roses;;Wed, 11 Oct 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/49-war-of-the-roses.mp3
Bert's Guide to Surviving Prison;;Thu, 12 Oct 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/50-bert-s-guide-to-surviving-prison.mp3
Dog Park Etiquette;;Wed, 25 Oct 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/51-dog-park-etiquette.mp3
A Spooky Wooky 'Ween;;Wed, 01 Nov 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/52-a-spooky-wooky-ween.mp3
I'm Crumming;;Wed, 08 Nov 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/53-i-m-crumming.mp3
Fapgate;;Wed, 15 Nov 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/54-fapgate.mp3
Live Castaddressing the haterz;;Wed, 29 Nov 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/55-live-castaddressing-the-haterz.mp3
The 48 Laws of Lauer;;Wed, 06 Dec 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/56-the-48-laws-of-lauer.mp3
Quintessential;;Wed, 13 Dec 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/57-quintessential.mp3
Triggered by Star Wars;;Wed, 20 Dec 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/58-triggered-by-star-wars.mp3
No Breaks;;Wed, 27 Dec 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/59-no-breaks.mp3
New Year's Rezzolutions;;Wed, 03 Jan 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/60-new-year-s-rezzolutions.mp3
Golden Cousins;;Tue, 09 Jan 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/61-golden-cousins.mp3
Matt and Shane's Catholic Podcast;;Tue, 16 Jan 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/62-matt-and-shane-s-catholic-podcast.mp3
The Danish Submarine;;Wed, 24 Jan 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/63-the-danish-submarine.mp3
Grammy's So Male;;Wed, 31 Jan 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/64-grammy-s-so-male.mp3
Gimme a Juicer;;Wed, 07 Feb 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/65-gimme-a-juicer.mp3
The Storm Card;;Wed, 14 Feb 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/66-the-storm-card.mp3
The Creation of Knowledge;;Wed, 21 Feb 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/67-the-creation-of-knowledge.mp3
ManhoodCanada.Com;;Tue, 27 Feb 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/68-manhoodcanada-com.mp3
Eastwood's Wet Dream;;Wed, 07 Mar 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/69-eastwood-s-wet-dream.mp3
Army Hammer;;Wed, 14 Mar 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/70-army-hammer.mp3
Interview With a Front Man;;Wed, 21 Mar 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/71-interview-with-a-front-man.mp3
The Great Debate;;Wed, 28 Mar 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/72-the-great-debate.mp3
The Epic Saga;;Wed, 04 Apr 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/73-the-epic-saga.mp3
The Curious Case of Male Circumcision;;Sun, 08 Apr 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/74-the-curious-case-of-male-circumcision.mp3
The T Castle;;Wed, 11 Apr 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/75-the-t-castle.mp3
Crap-Top Recording;;Wed, 18 Apr 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/76-crap-top-recording.mp3
Children of the Bread;;Wed, 25 Apr 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/77-children-of-the-bread.mp3
