title;description;date;link
To Catch a Prophet;;Wed, 31 May 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/29-to-catch-a-prophet.mp3
Tokyo Partners;;Wed, 07 Jun 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/30-tokyo-partners.mp3
Femmes and Supremmes;;Wed, 14 Jun 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/31-femmes-and-supremmes.mp3
Liza Slesh;;Mon, 19 Jun 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/32-liza-slesh.mp3
Shit Night;;Wed, 28 Jun 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/33-shit-night.mp3
Hardcore History;;Thu, 06 Jul 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/34-hardcore-history.mp3
The Secret Life of Morons;;Wed, 12 Jul 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/35-the-secret-life-of-morons.mp3
The Rocky Shores of Reality;;Wed, 19 Jul 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/36-the-rocky-shores-of-reality.mp3
Sound hound;;Mon, 24 Jul 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/37-sound-hound.mp3
Dong Wax;;Wed, 02 Aug 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/38-dong-wax.mp3
Friday Night Lights;;Wed, 09 Aug 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/39-friday-night-lights.mp3
Live Cast 8.11.17 part 1;;Mon, 14 Aug 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/40-live-cast-8-11-17-part-1.mp3
Butt Stuff;;Wed, 16 Aug 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/41-butt-stuff.mp3
We're Smart Now;;Wed, 23 Aug 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/42-we-re-smart-now.mp3
Racist Werewolf;;Wed, 30 Aug 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/43-racist-werewolf.mp3
Michael Myers;;Wed, 06 Sep 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/44-michael-myers.mp3
Pewdie Pie;;Wed, 13 Sep 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/45-pewdie-pie.mp3
The Other Sister;;Wed, 20 Sep 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/46-the-other-sister.mp3
The Almighty Knee;;Wed, 27 Sep 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/47-the-almighty-knee.mp3
Our First Black Guest;;Tue, 03 Oct 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/48-our-first-black-guest.mp3
War of the Roses;;Wed, 11 Oct 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/49-war-of-the-roses.mp3
Bert's Guide to Surviving Prison;;Thu, 12 Oct 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/50-bert-s-guide-to-surviving-prison.mp3
Dog Park Etiquette;;Wed, 25 Oct 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/51-dog-park-etiquette.mp3
A Spooky Wooky 'Ween;;Wed, 01 Nov 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/52-a-spooky-wooky-ween.mp3
I'm Crumming;;Wed, 08 Nov 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/53-i-m-crumming.mp3
Fapgate;;Wed, 15 Nov 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/54-fapgate.mp3
Live Castaddressing the haterz;;Wed, 29 Nov 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/55-live-castaddressing-the-haterz.mp3
The 48 Laws of Lauer;;Wed, 06 Dec 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/56-the-48-laws-of-lauer.mp3
Quintessential;;Wed, 13 Dec 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/57-quintessential.mp3
Triggered by Star Wars;;Wed, 20 Dec 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/58-triggered-by-star-wars.mp3
No Breaks;;Wed, 27 Dec 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/59-no-breaks.mp3
New Year's Rezzolutions;;Wed, 03 Jan 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/60-new-year-s-rezzolutions.mp3
Golden Cousins;;Tue, 09 Jan 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/61-golden-cousins.mp3
Matt and Shane's Catholic Podcast;;Tue, 16 Jan 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/62-matt-and-shane-s-catholic-podcast.mp3
The Danish Submarine;;Wed, 24 Jan 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/63-the-danish-submarine.mp3
Grammy's So Male;;Wed, 31 Jan 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/64-grammy-s-so-male.mp3
Gimme a Juicer;;Wed, 07 Feb 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/65-gimme-a-juicer.mp3
The Storm Card;;Wed, 14 Feb 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/66-the-storm-card.mp3
The Creation of Knowledge;;Wed, 21 Feb 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/67-the-creation-of-knowledge.mp3
ManhoodCanada.Com;;Tue, 27 Feb 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/68-manhoodcanada-com.mp3
Eastwood's Wet Dream;;Wed, 07 Mar 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/69-eastwood-s-wet-dream.mp3
Army Hammer;;Wed, 14 Mar 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/70-army-hammer.mp3
Interview With a Front Man;;Wed, 21 Mar 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/71-interview-with-a-front-man.mp3
The Great Debate;;Wed, 28 Mar 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/72-the-great-debate.mp3
The Epic Saga;;Wed, 04 Apr 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/73-the-epic-saga.mp3
The Curious Case of Male Circumcision;;Sun, 08 Apr 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/74-the-curious-case-of-male-circumcision.mp3
The T Castle;;Wed, 11 Apr 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/75-the-t-castle.mp3
Crap-Top Recording;;Wed, 18 Apr 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/76-crap-top-recording.mp3
Children of the Bread;;Wed, 25 Apr 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/77-children-of-the-bread.mp3
PiMp$, Hoggz, N Double Saws;;Wed, 02 May 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/78-pimp-hoggz-n-double-saws.mp3
Nukes on Nukes on Nukes;;Wed, 09 May 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/79-nukes-on-nukes-on-nukes.mp3
The Morning Blowout;;Wed, 16 May 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/80-the-morning-blowout.mp3
Ideological Laser Tag;;Wed, 23 May 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/81-ideological-laser-tag.mp3
Locker Room Talk of Yore;;Wed, 30 May 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/82-locker-room-talk-of-yore.mp3
Big Snoring Poppas;;Wed, 06 Jun 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/83-big-snoring-poppas.mp3
Kang on Top;;Thu, 14 Jun 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/84-kang-on-top.mp3
Double Stanky;;Fri, 22 Jun 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/85-double-stanky.mp3
Gargoyle Attack;;Fri, 29 Jun 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/86-gargoyle-attack.mp3
New Low;;Tue, 10 Jul 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/87-new-low.mp3
Bad Dog Park;;Sun, 22 Jul 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/88-bad-dog-park.mp3
Trying 2 Wrangle Mah B!tch;;Tue, 24 Jul 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/89-trying-2-wrangle-mah-b-tch.mp3
Red Scare;;Tue, 31 Jul 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/90-red-scare.mp3
Lights, Camera, Action;;Wed, 08 Aug 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/91-lights-camera-action.mp3
CAST #3;;Wed, 15 Aug 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/92-cast-3.mp3
Saurian Greed;;Sat, 25 Aug 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/93-saurian-greed.mp3
The Naughty Universe;;Tue, 04 Sep 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/94-the-naughty-universe.mp3
The Shat Revelations;;Tue, 11 Sep 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/95-the-shat-revelations.mp3
Feel Da Luh;;Tue, 18 Sep 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/96-feel-da-luh.mp3
Ka-Pow!;;Tue, 25 Sep 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/97-ka-pow.mp3
The Great Divide;;Tue, 09 Oct 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/98-the-great-divide.mp3
Triple Diggies;;Tue, 16 Oct 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/99-triple-diggies.mp3
Bombs over Blackface;;Fri, 26 Oct 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/100-bombs-over-blackface.mp3
The Captain's Code;;Mon, 05 Nov 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/101-the-captain-s-code.mp3
Voting Stickers;;Tue, 06 Nov 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/102-voting-stickers.mp3
Erotic Reflection;;Sat, 17 Nov 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/103-erotic-reflection.mp3
The Concrete Pit;;Mon, 19 Nov 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/104-the-concrete-pit.mp3
Gerbie's Grool;;Tue, 27 Nov 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/105-gerbie-s-grool.mp3
Noooo!;;Mon, 03 Dec 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/106-noooo.mp3
DFS;;Mon, 10 Dec 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/107-dfs.mp3
Sky World;;Thu, 20 Dec 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/108-sky-world.mp3
Sexxxual Hitman;;Sat, 29 Dec 2018 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/109-sexxxual-hitman.mp3
Wounded;;Fri, 04 Jan 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/110-wounded.mp3
Sad Stories;;Tue, 15 Jan 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/111-sad-stories.mp3
Daemons;;Sun, 20 Jan 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/112-daemons.mp3
Shreddin' Gnar;;Mon, 28 Jan 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/113-shreddin-gnar.mp3
Nicean Secrets;;Tue, 05 Feb 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/114-nicean-secrets.mp3
Classified;;Mon, 11 Feb 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/115-classified.mp3
O'Contact;;Mon, 18 Feb 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/116-o-contact.mp3
The Lazarus Cast;;Tue, 26 Feb 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/117-the-lazarus-cast.mp3
Stone Cold's Bastard;;Mon, 04 Mar 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/118-stone-cold-s-bastard.mp3
H.E.D.D.;;Thu, 07 Mar 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/119-h-e-d-d.mp3
Wolf Stats;;Tue, 19 Mar 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/120-wolf-stats.mp3
Saudi Chicken Prince;;Tue, 26 Mar 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/121-saudi-chicken-prince.mp3
B.I.G. S.I.S.T.E.R.;;Mon, 01 Apr 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/122-b-i-g-s-i-s-t-e-r.mp3
G-Pass;;Wed, 10 Apr 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/123-g-pass.mp3
Who Had 'Em;;Tue, 16 Apr 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/124-who-had-em.mp3
SWAPCAST W Ya F#cked It;;Mon, 22 Apr 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/125-swapcast-w-ya-f-cked-it.mp3
Vision of Love;;Wed, 01 May 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/126-vision-of-love.mp3
R.I.P. Orlando Bloom;;Wed, 08 May 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/127-r-i-p-orlando-bloom.mp3
A New Fool;;Tue, 14 May 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/128-a-new-fool.mp3
Double Donger;;Tue, 21 May 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/129-double-donger.mp3
The Poors;;Wed, 29 May 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/130-the-poors.mp3
Gerbies In Space;;Tue, 04 Jun 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/131-gerbies-in-space.mp3
STUCK;;Tue, 11 Jun 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/132-stuck.mp3
Canadian Parade;;Mon, 17 Jun 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/133-canadian-parade.mp3
Can't Cuck This;;Wed, 26 Jun 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/134-can-t-cuck-this.mp3
Live @ The Stand w Nick Mullen;;Tue, 02 Jul 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/135-live-the-stand-w-nick-mullen.mp3
The War Room;;Mon, 08 Jul 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/136-the-war-room.mp3
Geezer League;;Wed, 17 Jul 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/137-geezer-league.mp3
The Grid of Interaction;;Mon, 22 Jul 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/138-the-grid-of-interaction.mp3
Within the Walls of the Kremlin;;Wed, 31 Jul 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/139-within-the-walls-of-the-kremlin.mp3
Awash in Propagander;;Mon, 05 Aug 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/140-awash-in-propagander.mp3
War Room II-Pt 1;;Thu, 15 Aug 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/141-war-room-ii-pt-1.mp3
Everything is Fcking Asshoe!!!;;Thu, 22 Aug 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/142-everything-is-fcking-asshoe.mp3
A.I. is Racist;;Mon, 26 Aug 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/143-a-i-is-racist.mp3
Live from Shane's Parent's Basement;;Tue, 03 Sep 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/144-live-from-shane-s-parent-s-basement.mp3
Ephemerality;;Sun, 08 Sep 2019 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/matt-and-shane/145-ephemerality.mp3
