ordinal;title;description;date;link
1;2002-06-29;;Sat, 29 Jun 2002 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/snk-xfm/2002-06-29_xfm_simon-pegg_nick-frost.mp3
2;2002-08-19;;Mon, 19 Aug 2002 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/snk-xfm/2002-08-19_xfm_simon-pegg_nick-frost.mp3
3;2002-08-20;;Tue, 20 Aug 2002 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/snk-xfm/2002-08-20_xfm_simon-pegg_nick-frost.mp3
4;2002-08-21;;Wed, 21 Aug 2002 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/snk-xfm/2002-08-21_xfm_simon-pegg_nick-frost.mp3
5;2002-08-23;;Fri, 23 Aug 2002 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/snk-xfm/2002-08-23_xfm_simon-pegg_nick-frost.mp3
6;2004-03-05;;Fri, 05 Mar 2004 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/snk-xfm/2004-03-05_xfm_simon-pegg_nick-frost.mp3
